,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,ust-tsilma,65.441,52.1498,19.44,93,100,4.97,RU,1616053096
314,kamariotissa,40.4833,25.4667,51.8,87,75,8.05,GR,1616053096
315,guiyang,26.5833,106.7167,84.2,30,0,15.66,CN,1616053097
316,edremit,39.5961,27.0244,48.2,76,75,4.61,TR,1616053098
317,boshan,36.4833,117.8333,53.01,34,100,3.0,CN,1616053099
318,manhattan,40.7834,-73.9662,44.6,76,90,3.44,US,1616053071
319,ambon,-3.6954,128.1814,87.8,70,20,16.11,ID,1616053100
320,akhnur,32.8667,74.7333,82.4,36,20,4.61,IN,1616053101
321,broken hill,-31.95,141.4333,77.0,38,90,17.27,AU,1616053101
322,selenduma,50.9131,106.2406,28.06,61,100,12.59,RU,1616053102
323,turukhansk,65.8167,87.9833,6.46,90,100,12.06,RU,1616053103
324,henties bay,-22.116,14.2845,64.0,84,4,5.01,NA,1616053103
325,mitu,1.1983,-70.1733,71.11,98,54,2.55,CO,1616052548
326,penzance,50.1186,-5.5371,44.6,65,0,2.3,GB,1616053105
327,price,39.5994,-110.8107,37.4,75,90,3.44,US,1616053105
328,hofn,64.2539,-15.2082,47.62,68,4,7.74,IS,1616053106
329,marsh harbour,26.5412,-77.0636,72.84,81,0,12.08,BS,1616053107
330,hasaki,35.7333,140.8333,63.0,54,20,12.66,JP,1616053108
331,baykit,61.67,96.37,23.43,86,100,11.07,RU,1616053108
332,dharchula,29.85,80.5333,80.26,15,24,7.38,IN,1616053109
333,hobyo,5.3505,48.5268,84.54,68,55,12.5,SO,1616052557
334,bitung,1.4451,125.1824,86.0,70,40,6.91,ID,1616053110
335,mount isa,-20.7333,139.5,93.2,24,40,16.11,AU,1616053111
336,talnakh,69.4865,88.3972,-18.87,91,34,12.37,RU,1616053112
337,tura,25.5198,90.2201,92.73,11,0,5.93,IN,1616053113
338,zhangye,38.9342,100.4517,53.28,12,40,12.77,CN,1616053115
339,fatsa,41.0278,37.5014,50.0,93,75,3.44,TR,1616053115
340,leh,34.1667,77.5833,31.19,43,33,5.68,IN,1616053116
341,hoi an,15.8794,108.335,87.8,58,20,10.36,VN,1616053117
342,santiago,-33.4569,-70.6483,59.0,87,20,8.05,CL,1616053062
343,trairi,-3.2778,-39.2689,74.46,91,23,2.86,BR,1616053118
344,vredendal,-31.6683,18.5012,64.83,78,59,6.96,ZA,1616052579
345,sal rei,16.1833,-22.9167,66.2,88,40,6.91,CV,1616053119
346,santa maria,-29.6842,-53.8069,64.33,82,96,5.88,BR,1616053058
347,asau,46.4333,26.4,37.0,62,100,7.7,RO,1616053120
348,banda aceh,5.5577,95.3222,83.89,74,62,13.78,ID,1616053121
349,anloga,5.7947,0.8973,78.8,78,20,6.91,GH,1616053122
350,dzaoudzi,-12.7887,45.2699,89.6,66,0,4.61,YT,1616053123
351,amazar,53.858,120.875,28.18,64,98,4.47,RU,1616053124
352,apricena,41.7839,15.4437,46.74,60,100,7.78,IT,1616053125
353,seguela,7.9611,-6.6731,71.26,88,97,5.37,CI,1616053125
354,pemba,-12.974,40.5178,84.2,79,75,3.44,MZ,1616053126
355,grand-lahou,5.1367,-5.0242,75.99,83,100,4.94,CI,1616053127
356,katobu,-4.9408,122.5276,87.33,64,8,1.74,ID,1616053127
357,puerto escondido,15.85,-97.0667,74.82,73,0,4.9,MX,1616053128
358,loiza,18.4313,-65.8802,75.2,60,40,10.36,PR,1616053129
359,elk river,45.3038,-93.5672,30.0,84,1,9.28,US,1616053115
360,navsari,20.9524,72.9324,98.6,26,0,9.22,IN,1616053130
361,kontagora,10.3999,5.4695,81.68,66,100,6.98,NG,1616053131
362,labytnangi,66.6572,66.4183,-3.87,93,100,3.71,RU,1616053132
363,haines junction,60.7522,-137.5108,14.0,85,99,1.14,CA,1616053133
364,gerash,27.6652,54.1371,82.4,28,0,13.78,IR,1616053134
365,berlevag,70.8578,29.0864,24.8,63,75,21.85,NO,1616053134
366,giyani,-23.3025,30.7187,85.1,47,89,2.44,ZA,1616053135
367,tukrah,32.5341,20.5791,58.32,49,33,5.39,LY,1616053136
368,san jose de ocoa,18.55,-70.5,72.0,82,49,3.0,DO,1616053136
369,ahipara,-35.1667,173.1667,62.31,77,5,9.55,NZ,1616053137
370,tenosique,17.4833,-91.4333,73.08,76,1,7.56,MX,1616053138
371,buchanan,5.8808,-10.0467,73.4,94,40,3.58,LR,1616053139
372,springdale,36.1867,-94.1288,39.0,93,90,13.8,US,1616053111
373,port hedland,-20.3167,118.5667,95.0,34,40,20.71,AU,1616053140
374,novopetrovskoye,55.9928,36.4719,33.8,80,20,2.24,RU,1616053141
375,dimapur,25.9,93.7333,86.0,42,20,3.44,IN,1616053141
376,guanica,17.9716,-66.908,71.01,64,1,5.32,PR,1616053142
377,celestun,20.8667,-90.4,76.68,74,0,10.96,MX,1616053143
378,eureka,40.8021,-124.1637,51.01,65,86,5.01,US,1616052922
379,kahului,20.8947,-156.47,68.0,77,90,18.41,US,1616053055
380,wanning,18.8003,110.3967,80.55,71,3,7.14,CN,1616053145
381,sao gabriel da cachoeira,-0.1303,-67.0892,70.39,98,100,0.16,BR,1616053145
382,kaohsiung,22.6163,120.3133,86.0,42,20,10.36,TW,1616053146
383,saint-francois,46.4154,3.9054,41.0,93,0,4.61,FR,1616053147
384,bogorodskoye,56.55,37.8833,30.88,93,95,3.4,RU,1616053147
385,gubkinskiy,64.434,76.5026,1.83,81,99,1.99,RU,1616053148
386,jiuquan,39.7432,98.5174,47.12,19,100,5.82,CN,1616053149
387,savannah bight,16.45,-85.85,80.01,85,39,5.99,HN,1616053150
388,katangli,51.7102,143.2326,20.17,74,100,14.72,RU,1616053150
389,flin flon,54.7682,-101.865,24.71,96,91,7.25,CA,1616053151
390,semey,50.4111,80.2275,24.8,68,0,15.66,KZ,1616053152
391,pisco,-13.7,-76.2167,68.0,77,0,8.05,PE,1616053153
392,menongue,-14.6585,17.691,73.08,77,87,2.82,AO,1616053153
393,bequimao,-2.4489,-44.7825,75.2,100,90,5.75,BR,1616053154
394,davila,18.4726,120.5763,87.8,74,20,17.27,PH,1616053155
395,vila franca do campo,37.7167,-25.4333,57.2,77,75,5.75,PT,1616053155
396,agirish,61.9247,63.0231,29.25,90,100,8.63,RU,1616053156
397,north platte,41.1239,-100.7654,35.6,75,90,8.05,US,1616053086
398,bobcaygeon,44.5462,-78.542,35.6,93,90,3.44,CA,1616053030
399,bonthe,7.5264,-12.505,77.14,71,92,1.61,SL,1616053158
400,jizan,17.3333,42.6667,89.6,51,0,10.36,SA,1616053141
401,mahibadhoo,3.7833,72.9667,81.95,73,43,7.16,MV,1616053159
402,torres,-29.3353,-49.7269,70.84,85,58,12.77,BR,1616053160
403,glenwood springs,39.5505,-107.3248,26.01,86,1,5.75,US,1616053161
404,najran,17.4924,44.1277,82.4,13,0,4.61,SA,1616053161
405,nelson bay,-32.7167,152.15,66.2,100,90,9.22,AU,1616053162
406,saint-pierre,-21.3393,55.4781,84.2,65,0,24.16,RE,1616053163
407,bud,39.447,-86.1758,55.0,98,100,9.37,US,1616052576
408,cochrane,51.1834,-114.4687,37.0,55,20,4.61,CA,1616052967
409,san patricio,28.017,-97.5169,62.6,39,20,14.97,US,1616053165
410,kantang,7.4054,99.5156,97.0,38,20,10.36,TH,1616053165
411,ornskoldsvik,63.2909,18.7153,24.8,93,75,4.61,SE,1616053166
412,yeniseysk,58.4497,92.1703,25.72,75,100,9.84,RU,1616053167
413,kidodi,-7.6036,37.0044,85.37,73,36,2.42,TZ,1616053168
414,richards bay,-28.783,32.0377,77.58,81,86,9.26,ZA,1616053168
415,kuito,-12.3833,16.9333,68.0,77,0,4.61,AO,1616053169
416,khor,47.8861,134.9464,27.93,94,98,4.97,RU,1616052990
417,dhidhdhoo,6.8833,73.1,83.43,63,89,4.68,MV,1616052581
418,cabo san lucas,22.8909,-109.9124,61.0,75,0,1.01,MX,1616053171
419,manakara,-22.1333,48.0167,83.44,60,0,3.69,MG,1616053172
420,gat,31.61,34.7642,63.0,2,2,3.0,IL,1616053173
421,iranshahr,27.2025,60.6848,87.8,18,0,4.61,IR,1616053174
422,coahuayana,18.7333,-103.6833,64.15,91,0,3.38,MX,1616053175
423,whitecourt,54.1502,-115.6855,32.72,86,0,0.25,CA,1616053175
424,hami,42.8,93.45,40.69,59,100,8.66,CN,1616053176
425,kargasok,59.0556,80.8572,29.7,90,97,9.1,RU,1616053177
426,guerrero negro,27.9769,-114.0611,55.85,78,0,10.16,MX,1616053177
427,nahrin,36.0649,69.1334,66.22,17,90,3.15,AF,1616053179
428,mezhdurechensk,53.6942,88.0603,24.04,92,100,6.91,RU,1616053179
429,copiapo,-27.3667,-70.3333,59.0,94,90,8.05,CL,1616053180
430,poum,-20.2333,164.0167,81.48,76,80,11.25,NC,1616053181
431,olhao,37.0286,-7.8411,57.2,54,0,9.22,PT,1616053182
432,mattru,7.6244,-11.8332,75.7,77,98,0.89,SL,1616053182
433,usinsk,65.9939,57.5281,18.75,91,100,8.32,RU,1616053183
434,butembo,0.15,29.2833,66.97,75,100,1.79,CD,1616053184
435,batesville,35.7698,-91.641,54.0,76,1,10.36,US,1616053184
436,shangzhi,45.2167,127.9667,36.72,57,0,4.97,CN,1616053033
437,tuljapur,18.0,76.0833,96.85,14,8,9.57,IN,1616053186
438,porto novo,6.4965,2.6036,80.6,83,40,5.75,BJ,1616052997
439,agutaya,11.148,120.9417,83.46,80,43,15.68,PH,1616053187
440,salina,38.8403,-97.6114,37.4,75,90,26.46,US,1616053080
441,codrington,-38.2667,141.9667,65.5,73,0,11.92,AU,1616053188
442,gimli,50.6336,-96.9907,26.6,80,0,3.94,CA,1616053189
443,itarema,-2.9248,-39.9167,75.96,88,79,4.38,BR,1616053190
444,gaogou,34.0175,119.1886,51.69,55,100,10.94,CN,1616053190
445,sinnamary,5.3833,-52.95,75.72,82,49,8.86,GF,1616053192
446,lata,40.1629,-8.3327,54.0,64,0,5.99,PT,1616053192
447,suntar,62.1444,117.6319,15.22,87,98,2.42,RU,1616053193
448,killybegs,54.6333,-8.45,46.0,98,100,3.0,IE,1616053194
449,carutapera,-1.195,-46.02,75.63,94,84,4.72,BR,1616053194
450,iqaluit,63.7506,-68.5145,-20.0,69,20,8.05,CA,1616053195
451,alice springs,-23.7,133.8833,87.01,26,94,13.8,AU,1616053196
452,camacupa,-12.0167,17.4833,69.67,83,85,3.74,AO,1616053197
453,puerto ayacucho,5.6639,-67.6236,72.99,89,31,2.66,VE,1616053197
454,monster,52.0258,4.175,43.0,91,100,3.0,NL,1616053198
455,olinda,-8.0089,-34.8553,77.0,73,20,4.61,BR,1616053199
456,ferrol,43.4832,-8.2369,52.0,93,20,3.44,ES,1616052946
457,mujiayingzi,42.1167,118.7833,47.61,25,0,14.32,CN,1616053200
458,klaksvik,62.2266,-6.589,42.8,100,94,18.16,FO,1616053201
459,gunjur,13.2019,-16.7339,67.73,82,0,9.37,GM,1616053202
460,puerto del rosario,28.5004,-13.8627,62.6,72,75,10.36,ES,1616053159
461,redding,40.5865,-122.3917,51.8,62,20,5.75,US,1616053204
462,nemuro,43.3236,145.575,33.8,55,75,10.36,JP,1616053205
463,naze,28.3667,129.4833,69.8,94,75,2.3,JP,1616053206
464,yatou,37.15,122.3833,45.18,46,100,15.21,CN,1616053037
465,dingle,10.9995,122.6711,86.16,70,13,11.56,PH,1616053207
466,soyo,-6.1349,12.3689,78.8,89,75,3.44,AO,1616053208
467,kokstad,-30.5472,29.4241,73.99,54,80,2.33,ZA,1616053209
468,macau,22.2006,113.5461,80.6,83,40,8.05,MO,1616052943
469,adana,36.985,35.2881,59.0,71,75,4.61,TR,1616053211
470,ladybrand,-29.1945,27.4574,69.28,52,0,4.54,ZA,1616053212
471,mehamn,71.0357,27.8492,28.4,63,75,21.85,NO,1616053212
472,urucara,-2.5364,-57.76,72.64,98,100,2.28,BR,1616053213
473,vao,-22.6667,167.4833,76.17,77,100,23.62,NC,1616053214
474,micheweni,-4.9667,39.8333,85.6,63,44,4.29,TZ,1616053215
475,arkul,57.2808,50.044,24.71,91,100,8.55,RU,1616053215
476,karratha,-20.7377,116.8463,90.55,50,16,15.68,AU,1616053216
477,hearst,49.6835,-83.6665,17.6,57,56,11.5,CA,1616053217
478,mecca,21.4267,39.8261,91.33,27,0,5.12,SA,1616053217
479,ibra,22.6906,58.5334,95.68,11,0,7.85,OM,1616053218
480,ardahan,41.1087,42.7022,30.61,88,99,6.2,TR,1616053036
481,cuamba,-14.8031,36.5372,81.45,78,29,0.4,MZ,1616053220
482,cockburn town,21.4612,-71.1419,73.94,75,14,17.36,TC,1616053221
483,radaseni,47.4667,26.25,34.0,93,75,17.27,RO,1616053221
484,komsomolskiy,40.4272,71.7189,46.4,71,23,4.61,UZ,1616053222
485,teya,60.3778,92.6267,21.04,84,100,12.48,RU,1616053223
486,haverfordwest,51.8017,-4.9691,45.0,96,75,5.01,GB,1616053224
487,isangel,-19.55,169.2667,78.19,84,4,15.39,VU,1616053224
488,lieksa,63.3167,30.0167,16.66,83,42,6.98,FI,1616053225
489,mugur-aksy,50.35,90.5,14.02,54,84,7.34,RU,1616053226
490,biltine,14.5333,20.9167,93.97,14,42,15.99,TD,1616053227
491,stokmarknes,68.5646,14.9108,28.4,50,0,6.91,NO,1616053228
492,varkaus,62.3153,27.873,23.0,74,90,13.8,FI,1616053229
493,amahai,-3.3333,128.9167,84.02,77,61,4.45,ID,1616053229
494,yemtsa,63.0734,40.3329,16.47,80,100,3.71,RU,1616053230
495,ambunti,-4.2365,142.8448,85.89,68,99,2.01,PG,1616053231
496,tytuvenai,55.6,23.2,32.0,86,90,11.5,LT,1616053232
497,cucutilla,7.5394,-72.7724,60.91,94,66,2.77,CO,1616053233
498,northam,51.0333,-4.2167,42.01,91,58,6.62,GB,1616053234
499,loikaw,19.6742,97.2094,96.84,17,5,4.63,MM,1616053235
500,arona,28.0996,-16.681,61.0,63,20,5.75,ES,1616053235
501,xingyi,24.1877,102.817,81.01,14,19,16.13,CN,1616053236
502,el paso,31.8001,-106.2005,52.0,23,20,5.75,US,1616053237
503,byron bay,-28.65,153.6167,73.4,83,75,13.8,AU,1616053238
504,antsohihy,-14.8796,47.9875,89.62,66,75,1.43,MG,1616053239
505,katsuura,35.1333,140.3,63.0,55,20,10.36,JP,1616053240
506,xam nua,20.4197,104.0439,87.06,38,81,1.86,LA,1616053241
507,yaan,7.3833,8.5667,81.7,67,99,7.09,NG,1616053241
508,gusau,12.1628,6.6614,84.96,25,100,9.08,NG,1616053242
509,san luis,-33.295,-66.3356,52.86,81,96,10.36,AR,1616053243
510,margate,51.3813,1.3862,43.0,82,100,7.0,GB,1616053243
511,wencheng,33.0559,113.7978,46.6,63,100,10.38,CN,1616053244
512,rawson,-43.3002,-65.1023,51.24,63,0,14.03,AR,1616053245
513,kushiro,42.975,144.3747,37.4,60,75,8.05,JP,1616053246
514,ati,13.2154,18.3353,89.91,32,85,14.97,TD,1616053247
515,raudeberg,61.9875,5.1352,37.99,96,99,3.87,NO,1616053248
516,pringsewu,-5.3582,104.9744,87.64,66,100,2.59,ID,1616053248
517,denizli,37.8402,29.0698,39.2,81,40,4.61,TR,1616053249
518,acarau,-2.8856,-40.12,76.89,86,82,5.01,BR,1616053250
519,alenquer,-1.9417,-54.7383,75.2,100,20,3.24,BR,1616053251
520,gorele,41.0308,39.0031,50.0,87,75,6.91,TR,1616053251
521,avera,33.194,-82.5271,64.4,94,90,12.17,US,1616053252
522,guasdualito,7.2424,-70.7324,75.2,88,50,1.14,VE,1616053253
523,lisala,2.15,21.5167,77.32,77,98,2.48,CD,1616053254
524,hvide sande,56.0045,8.1294,35.01,86,0,2.8,DK,1616053255
525,tomatlan,19.9333,-105.25,59.65,75,0,2.35,MX,1616053255
526,balsas,-7.5325,-46.0356,71.33,93,99,1.19,BR,1616053256
527,nardaran,40.5561,50.0056,46.4,100,75,20.71,AZ,1616053257
528,pangnirtung,66.1451,-65.7125,-20.2,76,0,1.16,CA,1616053258
529,morlaix,48.5833,-4.0,37.4,93,89,2.3,FR,1616053259
530,sadri,25.1833,73.4333,97.03,8,93,7.34,IN,1616053260
531,myitkyina,25.3833,97.4,101.86,12,0,4.94,MM,1616053260
532,morros,-9.4467,-46.3003,71.26,88,100,0.78,BR,1616053261
533,coquimbo,-29.9533,-71.3436,55.4,88,0,3.44,CL,1616053262
534,comodoro rivadavia,-45.8667,-67.5,51.8,58,0,3.44,AR,1616053064
535,kansanshi,-12.0951,26.4273,70.88,83,64,6.24,ZM,1616053263
536,erzin,36.9559,36.2,61.0,64,66,5.99,TR,1616053264
537,grindavik,63.8424,-22.4338,46.4,100,90,21.85,IS,1616053264
538,kapuskasing,49.4169,-82.4331,23.0,68,72,18.41,CA,1616053265
539,guilin,25.2819,110.2864,82.4,57,40,15.66,CN,1616053266
540,garachine,8.0647,-78.3628,75.92,92,100,2.64,PA,1616053267
541,cayenne,4.9333,-52.3333,78.01,94,99,9.28,GF,1616053267
542,yarmouth,41.7057,-70.2286,39.99,81,90,3.44,US,1616053268
543,prado,-17.3411,-39.2208,72.55,93,3,3.98,BR,1616053269
544,conceicao do araguaia,-8.2578,-49.2647,70.93,97,100,2.86,BR,1616053269
545,helong,42.5397,128.9972,42.69,34,100,4.76,CN,1616053270
546,palmer,42.1584,-72.3287,36.0,87,97,5.5,US,1616053271
547,srednekolymsk,67.45,153.6833,-2.15,87,100,3.27,RU,1616053272
548,gumdag,39.2061,54.5906,65.46,41,41,14.09,TM,1616053272
549,kenda,23.2,86.5333,96.8,17,40,2.3,IN,1616053273
550,seydi,39.4816,62.9137,68.76,27,19,17.58,TM,1616053274
551,cruz das almas,-12.67,-39.1019,69.15,98,22,2.46,BR,1616053274
552,huilong,31.8111,121.655,57.99,80,98,1.01,CN,1616053275
553,vanimo,-2.6741,141.3028,82.27,76,70,6.06,PG,1616053276
554,lovozero,68.005,35.0117,13.44,90,100,9.71,RU,1616053277
555,agadir,30.4202,-9.5982,59.0,94,75,2.48,MA,1616053206
556,nikolayevsk-na-amure,53.1406,140.73,21.94,85,83,2.95,RU,1616053278
557,staroutkinsk,57.2302,59.3348,34.23,76,100,7.83,RU,1616053279
558,husavik,66.0449,-17.3389,50.0,62,0,25.32,IS,1616053280
559,letlhakeng,-24.0944,25.0298,80.8,43,0,8.95,BW,1616053281
560,lodja,-3.4833,23.4333,82.09,67,94,1.05,CD,1616053281
561,kaniama,-7.5667,24.1833,79.02,74,91,1.45,CD,1616053282
562,dekar,-21.5333,21.9333,75.74,61,86,6.98,BW,1616053283
563,samarai,-10.6167,150.6667,83.17,73,1,7.9,PG,1616053283
564,hanover,52.3705,9.7332,37.0,100,79,6.29,DE,1616053177
565,gushikawa,26.3544,127.8686,75.2,73,90,4.61,JP,1616053285
566,evensk,61.95,159.2333,3.51,62,21,13.13,RU,1616053285
567,strzegom,50.9626,16.3501,36.0,65,59,6.42,PL,1616053286
568,sola,-13.8833,167.55,82.47,75,46,10.65,VU,1616053287
569,gravdal,68.1214,13.5031,28.4,59,0,5.75,NO,1616053288
570,la ronge,55.1001,-105.2842,33.8,64,40,4.61,CA,1616053288
571,kovdor,67.5662,30.4758,18.09,74,52,18.23,RU,1616053289
572,santa ines,-3.6667,-45.38,72.1,98,97,1.7,BR,1616053290
573,steinbach,50.1667,8.5667,39.99,86,20,3.44,DE,1616053290
574,omaha,41.2586,-95.9378,35.6,80,90,14.97,US,1616053291
575,kudat,6.8837,116.8477,86.0,79,20,9.22,MY,1616053292
576,along,28.1667,94.7667,90.19,24,1,1.5,IN,1616053293
577,russell,32.3502,-85.1999,64.4,88,75,13.31,US,1616053294
578,sao filipe,14.8961,-24.4956,70.93,75,0,6.46,CV,1616053295
579,trinidad,-14.8333,-64.9,71.06,96,100,6.26,BO,1616053296
580,progreso,21.2833,-89.6667,75.99,78,1,10.36,MX,1616053297
581,port-cartier,50.0334,-66.8654,28.4,93,98,5.75,CA,1616053297
582,springbok,-29.6643,17.8865,64.4,55,0,2.3,ZA,1616053298
583,aksu,41.1231,80.2644,42.17,56,100,10.47,CN,1616053299
584,gornopravdinsk,60.05,69.9,30.04,93,100,8.08,RU,1616053299
585,thap than,15.4606,99.8917,98.01,44,90,3.71,TH,1616053300
586,kupino,54.3663,77.2981,21.11,95,100,9.89,RU,1616053301
587,la merced,5.4019,-75.8847,55.38,98,100,1.05,CO,1616053302
588,acapulco,16.8634,-99.8901,73.15,88,6,3.89,MX,1616053304
589,mancio lima,-7.6142,-72.8958,71.31,93,43,1.92,BR,1616053305
590,fayaoue,-20.65,166.5333,79.95,81,59,20.47,NC,1616053307
591,saint-georges,12.0564,-61.7485,75.2,83,20,5.75,GD,1616053308
592,bilma,18.6853,12.9164,87.93,10,1,10.29,NE,1616053309
593,susanville,40.4163,-120.653,39.2,52,20,3.44,US,1616053311
594,tocopilla,-22.092,-70.1979,66.13,82,61,4.99,CL,1616053312
595,pirai do sul,-24.5261,-49.9486,61.48,98,97,1.52,BR,1616053314
596,loreto,22.2667,-101.9667,49.1,79,0,7.58,MX,1616053140
597,xihe,31.6864,113.4659,48.85,86,100,9.93,CN,1616053316
598,nouadhibou,20.931,-17.0347,60.8,88,0,14.97,MR,1616053317
599,veinticinco de mayo,-35.4323,-60.1727,46.0,95,0,1.01,AR,1616053155
600,cabedelo,-6.9811,-34.8339,75.2,100,40,3.44,BR,1616053319
601,peniche,39.3558,-9.3811,57.0,48,0,5.01,PT,1616053320
602,atambua,-9.1061,124.8925,80.56,69,32,2.37,ID,1616053321
603,mormugao,15.4,73.8,85.91,63,0,10.33,IN,1616053323
604,cody,44.5263,-109.0565,33.01,64,1,4.61,US,1616053324
605,sakakah,29.9697,40.2064,64.4,34,0,13.8,SA,1616053325
606,masaka,-0.3338,31.7341,74.3,60,100,3.2,UG,1616053326
607,kerema,-7.9631,145.7785,82.96,74,44,6.89,PG,1616053328
608,yar-sale,66.8333,70.8333,-7.38,93,100,6.17,RU,1616053330
609,barra,-11.0894,-43.1417,74.59,69,74,8.32,BR,1616053332
610,seda,57.65,25.75,32.0,88,88,5.01,LV,1616053334
611,marataizes,-21.0433,-40.8244,72.59,84,53,7.49,BR,1616053335
612,plainview,40.7765,-73.4673,43.0,75,90,3.44,US,1616053336
613,sistranda,63.7256,8.834,39.2,93,90,16.11,NO,1616053337
614,beringovskiy,63.05,179.3167,-15.45,90,0,4.12,RU,1616053338
615,bagacay,12.9821,124.1415,83.62,78,1,11.27,PH,1616053340
616,sambava,-14.2667,50.1667,83.86,69,97,9.15,MG,1616053326
617,san pedro,14.35,121.0167,93.2,55,40,9.22,PH,1616053343
618,mugla,37.2303,28.3557,51.8,93,75,4.61,TR,1616053344
619,sikonge,-5.6333,32.7667,75.2,69,0,11.5,TZ,1616053345
620,xichang,27.8964,102.2634,86.0,5,0,10.09,CN,1616053346
621,abu dhabi,24.4667,54.3667,93.2,15,0,5.75,AE,1616053070
622,dicabisagan,17.0818,122.4157,83.12,75,100,5.61,PH,1616053350
623,conakry,9.538,-13.6773,76.93,66,0,3.83,GN,1616053351
624,ranong,9.9658,98.6348,93.2,52,20,10.36,TH,1616053352
625,iquitos,-3.7481,-73.2472,73.4,94,0,1.74,PE,1616053353
626,chumikan,54.7183,135.315,26.94,71,90,6.11,RU,1616053354
627,krasnyy kholm,58.0607,37.1203,30.4,94,97,7.94,RU,1616053355
628,keuruu,62.2667,24.7,21.99,63,0,11.5,FI,1616053356
629,lipari,38.4674,14.954,55.0,57,95,8.99,IT,1616053358
